Number,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
287,31,male,3,free,moderate,moderate,"$7,582",48    ,vacation/others
288,49,female,2,own,little,moderate,"$1,092",12    ,radio/TV
289,48,male,2,own,little,little,"$1,024",24    ,radio/TV
290,26,male,2,own,little,NA,"$1,076",12    ,business
291,28,male,3,rent,little,moderate,"$9,398",36    ,car
292,44,female,3,free,little,little,"$6,419",24    ,car
293,56,male,2,free,little,rich,"$4,796",42    ,car
294,46,male,3,own,NA,NA,"$7,629",48    ,business
295,26,female,2,own,little,moderate,"$9,960",48    ,furniture/equipment
296,20,female,2,rent,NA,NA,"$4,675",12    ,car
297,45,male,1,own,NA,NA,"$1,287",10    ,car
298,43,male,2,own,little,NA,"$2,515",18    ,furniture/equipment
299,32,male,2,own,rich,moderate,"$2,745",21    ,furniture/equipment
300,54,female,0,own,little,NA,$672,6    ,car
301,42,female,2,own,little,moderate,"$3,804",36    ,radio/TV
302,37,male,1,own,NA,rich,"$1,344",24    ,car
303,49,male,2,own,little,little,"$1,038",10    ,car
304,44,male,2,free,quite rich,NA,"$10,127",48    ,car
305,33,male,2,own,rich,NA,"$1,543",6    ,furniture/equipment
306,24,female,1,rent,NA,NA,"$4,811",30    ,car
307,33,male,1,own,moderate,little,$727,12    ,radio/TV
308,24,female,2,own,little,moderate,"$1,237",8    ,furniture/equipment
309,22,male,1,rent,little,moderate,$276,9    ,car
310,40,male,0,free,NA,moderate,"$5,381",48    ,vacation/others
311,25,male,2,own,moderate,NA,"$5,511",24    ,furniture/equipment
312,26,female,2,own,little,rich,"$3,749",24    ,furniture/equipment
313,25,male,1,own,little,moderate,$685,12    ,car
314,29,male,1,own,NA,rich,"$1,494",4    ,car
315,31,male,2,own,little,little,"$2,746",36    ,furniture/equipment
316,38,male,1,own,little,little,$708,12    ,furniture/equipment
317,48,female,1,own,NA,moderate,"$4,351",24    ,furniture/equipment
318,32,male,2,own,little,NA,$701,12    ,education
319,27,female,1,own,little,little,"$3,643",15    ,furniture/equipment
320,28,male,3,own,little,moderate,"$4,249",30    ,car
321,32,male,2,own,little,little,"$1,938",24    ,radio/TV
322,34,male,3,free,little,little,"$2,910",24    ,car
323,28,male,2,own,rich,little,"$2,659",18    ,furniture/equipment
324,36,female,2,own,little,NA,"$1,028",18    ,car
325,39,male,1,own,little,little,"$3,398",8    ,car
326,49,male,2,rent,NA,NA,"$5,801",12    ,furniture/equipment
327,34,female,2,own,rich,NA,"$1,525",24    ,car
328,31,male,2,own,little,rich,"$4,473",36    ,radio/TV
329,28,male,2,own,little,moderate,"$1,068",6    ,radio/TV
330,75,male,3,free,little,little,"$6,615",24    ,car
331,30,female,2,own,moderate,NA,"$1,864",18    ,education
332,24,female,3,own,moderate,moderate,"$7,408",60    ,car
333,24,female,1,rent,moderate,NA,"$11,590",48    ,car
334,23,male,2,rent,little,little,"$4,110",24    ,furniture/equipment
335,44,male,3,rent,little,little,"$3,384",6    ,furniture/equipment
336,23,female,1,own,little,moderate,"$2,101",13    ,radio/TV
337,24,female,2,rent,NA,little,"$1,275",15    ,domestic appliances
338,28,male,2,own,little,little,"$4,169",24    ,furniture/equipment
339,31,male,1,own,little,moderate,"$1,521",10    ,furniture/equipment
340,24,female,2,free,little,moderate,"$5,743",24    ,education
341,26,female,1,rent,little,little,"$3,599",21    ,furniture/equipment
342,25,male,2,rent,quite rich,moderate,"$3,213",18    ,radio/TV
343,33,male,3,own,little,moderate,"$4,439",18    ,business
344,37,male,1,own,little,rich,"$3,949",10    ,car
345,43,female,1,own,little,NA,"$1,459",15    ,radio/TV
346,23,male,2,own,little,moderate,$882,13    ,radio/TV
347,23,female,0,rent,quite rich,moderate,"$3,758",24    ,radio/TV
348,34,male,1,own,moderate,NA,"$1,743",6    ,business
349,32,male,2,free,rich,moderate,"$1,136",9    ,education
350,23,female,2,rent,little,NA,"$1,236",9    ,domestic appliances
351,29,female,2,own,little,moderate,$959,9    ,furniture/equipment
352,38,male,3,own,NA,NA,"$3,229",18    ,car
353,28,male,2,rent,little,little,"$6,199",12    ,radio/TV
354,46,male,2,free,quite rich,NA,$727,10    ,education
355,23,male,1,own,little,moderate,"$1,246",24    ,car
356,49,male,2,own,NA,NA,"$2,331",12    ,radio/TV
357,26,male,3,own,little,NA,"$4,463",36    ,radio/TV
358,28,male,2,own,little,NA,$776,12    ,radio/TV
359,23,female,2,rent,little,little,"$2,406",30    ,furniture/equipment
360,61,male,2,free,NA,moderate,"$1,239",18    ,education
361,37,male,3,own,NA,rich,"$3,399",12    ,radio/TV
362,36,female,2,own,little,rich,"$2,247",12    ,car
363,21,male,2,rent,little,NA,"$1,766",6    ,furniture/equipment
364,25,male,0,own,little,little,"$2,473",18    ,furniture/equipment
365,36,male,2,own,little,NA,"$1,542",12    ,business
366,27,male,2,own,little,NA,"$3,850",18    ,car
367,22,female,2,rent,little,little,"$3,650",18    ,furniture/equipment
368,42,male,2,own,little,little,"$3,446",36    ,furniture/equipment
369,40,female,2,rent,little,moderate,"$3,001",18    ,furniture/equipment
370,36,male,2,own,NA,NA,"$3,079",36    ,car
371,33,male,2,own,little,NA,"$6,070",18    ,radio/TV
372,23,female,2,rent,little,NA,"$2,146",10    ,furniture/equipment
373,63,male,3,free,NA,NA,"$13,756",60    ,car
374,60,female,3,free,moderate,moderate,"$14,782",60    ,vacation/others
375,37,female,2,rent,little,little,"$7,685",48    ,business
376,34,male,2,own,little,NA,"$2,320",18    ,radio/TV
377,36,male,2,free,NA,NA,$846,7    ,radio/TV
378,57,male,3,free,little,moderate,"$14,318",36    ,car
379,52,female,1,own,moderate,NA,$362,6    ,car
380,39,male,2,own,NA,little,"$2,212",20    ,furniture/equipment
381,38,female,3,free,little,moderate,"$12,976",18    ,car
382,25,female,2,rent,NA,NA,"$1,283",22    ,car
383,26,male,2,own,little,rich,"$1,330",12    ,car
384,26,male,1,own,moderate,NA,"$4,272",30    ,business
385,25,female,2,own,little,NA,"$2,238",18    ,radio/TV
386,21,female,2,rent,NA,NA,"$1,126",18    ,radio/TV
387,40,male,3,own,little,moderate,"$7,374",18    ,furniture/equipment
388,27,male,2,own,quite rich,moderate,"$2,326",15    ,business
389,27,female,2,own,little,NA,"$1,449",9    ,business
390,30,male,3,own,little,NA,"$1,820",18    ,car
391,19,female,1,rent,rich,moderate,$983,12    ,furniture/equipment
392,39,male,3,free,little,little,"$3,249",36    ,car
393,31,female,2,own,little,little,"$1,957",6    ,radio/TV
394,31,male,3,own,little,NA,"$2,406",9    ,furniture/equipment
395,32,male,2,rent,moderate,moderate,"$11,760",39    ,education
396,55,female,3,free,little,little,"$2,578",12    ,furniture/equipment
397,46,male,2,own,little,little,"$2,348",36    ,furniture/equipment
398,46,male,2,rent,little,moderate,"$1,223",12    ,car
399,43,female,1,own,rich,NA,"$1,516",24    ,radio/TV
400,39,male,2,own,little,NA,"$1,473",18    ,radio/TV
401,28,male,2,own,NA,moderate,"$1,887",18    ,business
402,27,male,2,own,little,NA,"$8,648",24    ,business
403,27,male,1,own,little,NA,$802,14    ,car
404,43,male,2,own,NA,moderate,"$2,899",18    ,car
405,22,male,2,own,little,moderate,"$2,039",24    ,radio/TV
406,43,male,2,own,NA,NA,"$2,197",24    ,car
407,27,male,2,own,little,little,"$1,053",15    ,radio/TV
408,26,male,3,own,quite rich,NA,"$3,235",24    ,radio/TV
409,28,male,2,own,quite rich,rich,$939,12    ,car
410,20,female,2,own,little,moderate,"$1,967",24    ,radio/TV
411,35,male,3,own,little,NA,"$7,253",33    ,car
412,42,male,3,own,little,NA,"$2,292",12    ,business
413,40,male,1,rent,quite rich,NA,"$1,597",10    ,car
414,35,female,2,own,NA,little,"$1,381",24    ,car
415,35,male,2,own,little,NA,"$5,842",36    ,car
416,33,male,1,own,little,little,"$2,579",12    ,car
417,23,female,2,rent,NA,little,"$8,471",18    ,education
418,31,female,3,own,quite rich,NA,"$2,782",21    ,car
419,33,female,2,own,NA,moderate,"$1,042",18    ,car
420,20,female,2,rent,rich,NA,"$3,186",15    ,car
421,30,male,2,own,NA,moderate,"$2,028",12    ,car
422,47,male,1,own,little,moderate,$958,12    ,car
423,34,male,3,own,moderate,NA,"$1,591",21    ,furniture/equipment
424,25,female,2,own,NA,moderate,"$2,762",12    ,furniture/equipment
425,21,male,2,rent,little,moderate,"$2,779",18    ,car
426,29,male,2,own,little,NA,"$2,743",28    ,radio/TV
427,46,male,2,own,rich,NA,"$1,149",18    ,radio/TV
428,20,male,2,own,little,NA,"$1,313",9    ,furniture/equipment
429,55,female,0,free,little,little,"$1,190",18    ,repairs
430,74,male,1,own,little,NA,"$3,448",5    ,business
431,29,male,3,own,little,moderate,"$11,328",24    ,vacation/others
432,36,male,3,free,little,little,"$1,872",6    ,furniture/equipment
433,33,male,2,own,little,NA,"$2,058",24    ,repairs
434,25,male,2,own,little,little,"$2,136",9    ,furniture/equipment
435,25,male,2,own,NA,moderate,"$1,484",12    ,radio/TV
436,23,male,1,rent,quite rich,NA,$660,6    ,repairs
437,37,female,2,own,rich,NA,"$1,287",24    ,car
438,65,male,0,own,little,little,"$3,394",42    ,repairs
439,26,female,0,own,little,rich,$609,12    ,business
440,39,male,3,own,little,NA,"$1,884",12    ,car
441,30,female,2,own,little,little,"$1,620",12    ,furniture/equipment
442,29,male,2,own,little,moderate,"$2,629",20    ,vacation/others
443,41,male,1,own,little,NA,$719,12    ,education
444,30,female,3,own,little,moderate,"$5,096",48    ,furniture/equipment
445,41,female,1,rent,NA,NA,"$1,244",9    ,education
446,34,female,2,own,little,little,"$1,842",36    ,car
447,35,male,2,own,little,moderate,"$2,576",7    ,radio/TV
448,55,female,3,own,NA,rich,"$1,424",12    ,furniture/equipment
449,61,male,2,own,rich,moderate,"$1,512",15    ,repairs
450,30,male,3,own,NA,NA,"$11,054",36    ,car
451,29,female,2,own,little,NA,$518,6    ,radio/TV
452,34,male,2,own,little,NA,"$2,759",12    ,furniture/equipment
453,35,male,3,own,little,NA,"$2,670",24    ,car
454,31,male,2,own,little,little,"$4,817",24    ,car
455,29,female,3,own,little,NA,"$2,679",24    ,car
456,36,male,2,rent,little,little,"$3,905",11    ,car
457,35,male,2,free,little,little,"$3,386",12    ,car
458,27,female,2,own,little,little,$343,6    ,domestic appliances
459,32,male,2,own,little,NA,"$4,594",18    ,radio/TV
460,37,male,2,own,little,little,"$3,620",36    ,furniture/equipment
461,36,male,2,own,little,little,"$1,721",15    ,car
462,34,female,3,rent,little,moderate,"$3,017",12    ,furniture/equipment
463,38,male,2,own,NA,moderate,$754,12    ,education
464,34,male,2,own,little,NA,"$1,950",18    ,business
